Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,contributors_count,commits_count,size,subscribers_count,watchers_count,languages,full_name,distros_present
autoware_core,autowarefoundation,,https://github.com/autowarefoundation/autoware_core,65997,155,116,75,3d-map;autonomous-driving;autonomous-vehicles;autoware;calibration;planner;ros;ros2;self-driving-car,Apache-2.0,True,True,True,True,False,62,595,65997,9,155,C++;Python;CMake,autowarefoundation/autoware_core,humble
navigation2,ros-planning,ROS 2 Navigation Framework and System,https://github.com/ros-navigation/navigation2,116699,3909,1721,134,navigation;robotics;ros2,Other,True,True,False,True,False,341,3448,116699,64,3909,C++;Python;CMake;C;CSS;Dockerfile;Shell;Jupyter Notebook;HTML,ros-navigation/navigation2,humble|jazzy|kilted
moveit2,ros-planning,:robot: MoveIt for ROS 2,https://github.com/moveit/moveit2,93682,1671,707,309,,BSD-3-Clause,True,True,True,True,False,311,9458,93682,44,1671,C++;C;Python;CMake;Shell;Dockerfile;TeX;NASL;HTML;GDB,moveit/moveit2,humble|jazzy|kilted
etsi_its_messages,ika-rwth-aachen,ROS / ROS 2 Support for ETSI ITS Messages for V2X Communication,https://github.com/ika-rwth-aachen/etsi_its_messages,25632,75,23,7,etsi;ros;ros2;v2x,MIT,True,False,False,False,False,13,1464,25632,9,75,C;C++;Python;Rust;CMake;Jinja;Dockerfile;Shell,ika-rwth-aachen/etsi_its_messages,humble|jazzy|kilted
ament_lint,ament,,https://github.com/ament/ament_lint,3281,47,127,97,,Apache-2.0,False,True,False,False,False,64,545,3281,17,47,Python;C;CMake;C++,ament/ament_lint,humble|jazzy|kilted
ros2_controllers,ros-controls,Generic robotic controllers to accompany ros2_control,https://github.com/ros-controls/ros2_controllers,13962,669,453,130,ros;ros2;ros2-control;ros2-controllers;ros2-humble;ros2-jazzy;ros2-kilted;ros2-rolling,Apache-2.0,True,False,False,False,False,139,1001,13962,22,669,C++;CMake;Python,ros-controls/ros2_controllers,humble|jazzy|kilted
aerostack2,aerostack2,Aerostack2 is a ROS 2 framework developed to create autonomous multi-aerial-robots systems in an easy and powerful way.,https://github.com/aerostack2/aerostack2,65523,287,69,77,aerial-robotics;drones;robotics;ros2;swarm-robotics;uavs,BSD-3-Clause,True,True,True,True,False,21,2027,65523,9,287,C++;Python;Jinja;CMake;Shell;Dockerfile;Batchfile;Makefile,aerostack2/aerostack2,humble
ecl_core,stonier,"A set of tools and interfaces extending the capabilities of c++ to provide a lightweight, consistent interface with a focus for control programming.",https://github.com/stonier/ecl_core,2883,88,75,14,,Other,True,False,False,False,False,9,390,2883,11,88,C++;CMake;Makefile,stonier/ecl_core,humble|jazzy|kilted
rosbag2,ros2,,https://github.com/ros2/rosbag2,8482,390,295,106,,Apache-2.0,True,True,False,False,False,126,936,8482,32,390,C++;Python;CMake,ros2/rosbag2,humble|jazzy|kilted
ament_cmake,ament,Supporting CMake packages for working with ament,https://github.com/ament/ament_cmake,2083,121,143,77,,Apache-2.0,False,True,False,False,False,64,561,2083,18,121,CMake;Python;C;Batchfile;C++;Shell,ament/ament_cmake,humble|jazzy|kilted
examples,ros2,Example packages for ROS 2,https://github.com/ros2/examples,1726,887,354,22,,Apache-2.0,True,True,False,False,False,47,577,1726,43,887,C++;Python;CMake;C,ros2/examples,humble|jazzy|kilted
mola,MOLAorg,A Modular Optimization framework for Localization and mApping (MOLA),https://github.com/MOLAorg/mola,4530,860,124,29,computer-vision;cxx;cxx17;datasets;graph-slam;lidar;lidar-point-cloud;localization;mobile-robots;slam;toolkit;visual-slam,Other,True,False,False,False,False,3,1523,4530,29,860,C++;Python;CMake;C;Dockerfile;MATLAB;Shell,MOLAorg/mola,humble|jazzy|kilted
demos,ros2,,https://github.com/ros2/demos,5429,613,353,41,,Apache-2.0,True,True,False,False,False,81,766,5429,33,613,C++;Python;CMake;C,ros2/demos,humble|jazzy|kilted
phidgets_drivers,ros-drivers,ROS drivers for various Phidgets devices,https://github.com/ros-drivers/phidgets_drivers,997,50,62,10,phidgets;ros;ros-driver,Other,True,False,False,False,False,23,399,997,5,50,C++;Python;CMake;Shell,ros-drivers/phidgets_drivers,humble|jazzy|kilted
open_manipulator,ROBOTIS-GIT,AI Manipulator and Open Manipulator,https://github.com/ROBOTIS-GIT/open_manipulator,41404,592,203,4,arduino;dynamixel;gazebo;manipultor;moveit;openmanipultor;package;robot;robotis;ros;turtlebot;turtlebot3,Apache-2.0,True,True,False,False,False,14,1019,41404,27,592,C++;Python;CMake;C;Shell;Dockerfile,ROBOTIS-GIT/open_manipulator,humble|jazzy|kilted
clips_executive,carologistics,,https://github.com/carologistics/clips_executive,80778,7,2,7,,Apache-2.0,True,True,False,False,False,4,544,80778,9,7,C++;Python;CLIPS;CMake;Jupyter Notebook;PDDL,carologistics/clips_executive,jazzy|kilted
ros2_planning_system,PlanSys2,This repo contains a PDDL-based planning system for ROS2.,https://github.com/PlanSys2/ros2_planning_system,441744,464,109,41,,Apache-2.0,True,True,True,False,False,28,1219,441744,19,464,C++;Python;PDDL;CMake,PlanSys2/ros2_planning_system,jazzy|kilted
kuka_drivers,kroshu,Repository containing ROS 2 drivers for multiple KUKA robots,https://github.com/kroshu/kuka_drivers,3047,148,36,24,,Apache-2.0,True,True,False,False,False,14,860,3047,14,148,C++;Python;C;Java;CMake,kroshu/kuka_drivers,humble
grid_map,ANYbotics,Universal grid map library for mobile robotic mapping,https://github.com/ANYbotics/grid_map,11344,3058,854,151,costmap;cpp;elevation;grid-map;height-map;mapping;navigation;occupancy;octopmap;opencv;pcl;ros;rviz;terrain,BSD-3-Clause,True,False,False,False,False,39,806,11344,104,3058,C++;CMake;Python,ANYbotics/grid_map,humble|jazzy|kilted
off_highway_sensor_drivers,bosch-engineering,"This project provides ROS drivers for Bosch Off-Highway sensor systems. (Radar Off-Highway Premium, Radar OHW, General Purpose Radar Off-Highway (GPR), Ultrasonic Sensor System OHW Entry & Premium)",https://github.com/bosch-engineering/off_highway_sensor_drivers,563,66,23,1,agriculture;agv;amr;automation;autonomous-mobile-robotics;autonomous-mobile-robots;construction;driver;high-imaging-radar;mobile-machines;off-highway;radar;radar-off-highway;ros2;surround-sensing;ultrasonic;ultrasonic-sensor;ultrasonic-sensor-system-ohw-entry;ultrasonic-sensor-system-ohw-premium,Other,True,True,False,False,False,13,125,563,9,66,C++;CMake;Python,bosch-engineering/off_highway_sensor_drivers,humble|jazzy
ros2cli,ros2,ROS 2 command line interface tools,https://github.com/ros2/ros2cli,3971,241,205,100,,Apache-2.0,True,True,False,False,False,96,713,3971,25,241,Python;EmberScript;C++;Shell;CMake,ros2/ros2cli,humble|jazzy|kilted
geometry2,ros2,A set of ROS packages for keeping track of coordinate transforms.,https://github.com/ros2/geometry2,9626,147,236,86,,BSD-3-Clause,False,False,False,False,False,146,1873,9626,26,147,C++;Python;CMake;C;Batchfile;Makefile,ros2/geometry2,humble|jazzy|kilted
kuka_robot_descriptions,kroshu,Repository containing models of KUKA robots,https://github.com/kroshu/kuka_robot_descriptions,120990,72,34,11,,Apache-2.0,True,True,False,True,False,14,193,120990,3,72,Python;C++;CMake;C;Shell,kroshu/kuka_robot_descriptions,humble
webots_ros2,cyberbotics,Webots ROS 2 packages,https://github.com/cyberbotics/webots_ros2,57524,513,182,50,examples;localization;motion-planning;navigation;robot;robotics;ros;ros2;simulation;slam;webots;webots-ros2,Apache-2.0,True,True,True,True,False,42,1629,57524,28,513,C;Python;C++;SWIG;Makefile;CMake;Shell;Lua;Dockerfile;Batchfile,cyberbotics/webots_ros2,humble|jazzy|kilted
common_interfaces,ros2,A set of packages which contain common interface files (.msg and .srv).,https://github.com/ros2/common_interfaces,840,336,146,45,,,True,False,False,False,False,59,308,840,29,336,C++;Python;CMake,ros2/common_interfaces,humble|jazzy|kilted
ros2_canopen,ros-industrial,CANopen driver framework for ROS2,https://github.com/ros-industrial/ros2_canopen,54016,246,112,97,canopen;robotics;ros2,,True,False,False,False,False,29,688,54016,12,246,C++;Python;CMake;C;Batchfile;Makefile;Dockerfile;CSS;Shell,ros-industrial/ros2_canopen,humble|jazzy|kilted
mrpt_ros,MRPT,Fine-grained ROS packages for MRPT libraries and apps,https://github.com/MRPT/mrpt_ros,512,8,4,1,,BSD-3-Clause,True,False,False,False,False,3,98,512,3,8,CMake;Python,MRPT/mrpt_ros,humble|jazzy|kilted
ros2_planning_system,IntelligentRoboticsLabs,This repo contains a PDDL-based planning system for ROS2.,https://github.com/PlanSys2/ros2_planning_system,441744,464,109,41,,Apache-2.0,True,True,True,False,False,28,1219,441744,19,464,C++;Python;PDDL;CMake,PlanSys2/ros2_planning_system,humble
rmf_internal_msgs,open-rmf,Messages used by the core RMF software,https://github.com/open-rmf/rmf_internal_msgs,383,14,28,0,,Apache-2.0,True,True,False,False,False,16,170,383,7,14,CMake,open-rmf/rmf_internal_msgs,humble|jazzy|kilted
rosidl,ros2,Packages which provide the ROS IDL (.msg) definition and code generation.,https://github.com/ros2/rosidl,3202,102,148,95,,Apache-2.0,True,True,False,False,False,86,1009,3202,26,102,C++;C;Python;EmberScript;CMake;Shell,ros2/rosidl,humble|jazzy|kilted
rtabmap_ros,introlab,RTAB-Map's ROS package.,https://github.com/introlab/rtabmap_ros,56986,1370,639,543,,BSD-3-Clause,True,False,False,False,False,33,1855,56986,32,1370,C++;Python;CMake;Dockerfile;C;Shell,introlab/rtabmap_ros,humble|jazzy|kilted
fuse,locusrobotics,"The fuse stack provides a general architecture for performing sensor fusion live on a robot. Some possible applications include state estimation, localization, mapping, and calibration.",https://github.com/locusrobotics/fuse,7696,849,132,45,,Other,True,False,False,False,False,15,364,7696,51,849,C++;CMake;Python;C;HTML,locusrobotics/fuse,jazzy|kilted
rosidlcpp,Tonywelte,,https://github.com/TonyWelte/rosidlcpp,2207,29,1,1,,Apache-2.0,True,True,False,False,False,1,110,2207,4,29,C++;CMake;C;Makefile;Python;Dockerfile,TonyWelte/rosidlcpp,jazzy|kilted
autoware_utils,autowarefoundation,C++ common utilities for Autoware,https://github.com/autowarefoundation/autoware_utils,524,7,39,8,,Apache-2.0,False,True,True,True,False,23,73,524,4,7,C++;CMake,autowarefoundation/autoware_utils,humble|jazzy
clearpath_common,clearpathrobotics,,https://github.com/clearpathrobotics/clearpath_common,34245,49,37,5,,BSD-3-Clause,False,False,False,False,False,13,714,34245,43,49,Python;C++;CMake,clearpathrobotics/clearpath_common,humble|jazzy
