full_name,repo_url_normalized,host,distros,n_distros,n_packages_total,resolved_via_breakdown
autowarefoundation/autoware_core,https://github.com/autowarefoundation/autoware_core,github.com,humble,1,69,rosdistro_release_packages:65;index_html_checkout_uri:4
robosoft-ai/SMACC2,https://github.com/robosoft-ai/SMACC2,github.com,humble|jazzy|kilted,3,65,index_html_checkout_uri:104;rosdistro_release_packages:6
ros-planning/navigation2,https://github.com/ros-planning/navigation2,github.com,humble|jazzy|kilted,3,44,rosdistro_release_packages:128
ros-planning/moveit2,https://github.com/ros-planning/moveit2,github.com,humble|jazzy|kilted,3,41,rosdistro_release_packages:119;index_html_checkout_uri:4
ika-rwth-aachen/etsi_its_messages,https://github.com/ika-rwth-aachen/etsi_its_messages,github.com,humble|jazzy|kilted,3,35,rosdistro_release_packages:105
ament/ament_lint,https://github.com/ament/ament_lint,github.com,humble|jazzy|kilted,3,31,rosdistro_release_packages:93
ros-controls/ros2_controllers,https://github.com/ros-controls/ros2_controllers,github.com,humble|jazzy|kilted,3,30,rosdistro_release_packages:82
aerostack2/aerostack2,https://github.com/aerostack2/aerostack2,github.com,humble,1,28,rosdistro_release_packages:28
carologistics/clips_executive,https://github.com/carologistics/clips_executive,github.com,jazzy|kilted,2,27,rosdistro_release_packages:34;index_html_checkout_uri:20
tier4/nebula,https://github.com/tier4/nebula,github.com,humble,1,26,index_html_checkout_uri:25;rosdistro_repo_key_name_match:1
stonier/ecl_core,https://github.com/stonier/ecl_core,github.com,humble|jazzy|kilted,3,25,rosdistro_release_packages:75
ros2/rosbag2,https://github.com/ros2/rosbag2,github.com,humble|jazzy|kilted,3,25,rosdistro_release_packages:66
ament/ament_cmake,https://github.com/ament/ament_cmake,github.com,humble|jazzy|kilted,3,23,rosdistro_release_packages:67
ros2/examples,https://github.com/ros2/examples,github.com,humble|jazzy|kilted,3,22,rosdistro_release_packages:66
MOLAorg/mola,https://github.com/MOLAorg/mola,github.com,humble|jazzy|kilted,3,22,rosdistro_release_packages:66
ros2/demos,https://github.com/ros2/demos,github.com,humble|jazzy|kilted,3,21,rosdistro_release_packages:62
ros-drivers/phidgets_drivers,https://github.com/ros-drivers/phidgets_drivers,github.com,humble|jazzy|kilted,3,17,rosdistro_release_packages:51
ROBOTIS-GIT/open_manipulator,https://github.com/ROBOTIS-GIT/open_manipulator,github.com,humble|jazzy|kilted,3,17,rosdistro_release_packages:29
PlanSys2/ros2_planning_system,https://github.com/PlanSys2/ros2_planning_system,github.com,jazzy|kilted,2,16,rosdistro_release_packages:31
ros2/geometry2,https://github.com/ros2/geometry2,github.com,humble|jazzy|kilted,3,15,rosdistro_release_packages:42;index_html_checkout_uri:3
kroshu/kuka_drivers,https://github.com/kroshu/kuka_drivers,github.com,humble,1,15,rosdistro_release_packages:15
ANYbotics/grid_map,https://github.com/ANYbotics/grid_map,github.com,humble|jazzy|kilted,3,15,rosdistro_release_packages:45
bosch-engineering/off_highway_sensor_drivers,https://github.com/bosch-engineering/off_highway_sensor_drivers,github.com,humble|jazzy,2,15,rosdistro_release_packages:30
ros2/ros2cli,https://github.com/ros2/ros2cli,github.com,humble|jazzy|kilted,3,15,rosdistro_release_packages:45
ros2/rosidl,https://github.com/ros2/rosidl,github.com,humble|jazzy|kilted,3,15,rosdistro_release_packages:37;index_html_checkout_uri:5
kroshu/kuka_robot_descriptions,https://github.com/kroshu/kuka_robot_descriptions,github.com,humble,1,14,rosdistro_release_packages:14
