full_name,ros_distro,n_packages_in_distro,repo_url_normalized,host
2b-t/myactuator_rmd,humble,1,https://github.com/2b-t/myactuator_rmd,github.com
42dot/foros,humble,4,https://github.com/42dot/foros,github.com
4am-robotics/cob_common,humble,4,https://github.com/4am-robotics/cob_common,github.com
ADVRHumanoids/nicla_vision_ros2,humble,1,https://github.com/ADVRHumanoids/nicla_vision_ros2,github.com
ANYbotics/grid_map,humble,15,https://github.com/ANYbotics/grid_map,github.com
AndrejOrsula/pymoveit2,humble,1,https://github.com/AndrejOrsula/pymoveit2,github.com
AprilRobotics/apriltag,humble,1,https://github.com/AprilRobotics/apriltag,github.com
AutonicsLiDAR/lsc_ros2_driver,humble,1,https://github.com/AutonicsLiDAR/lsc_ros2_driver,github.com
AutonomyLab/create_robot,humble,5,https://github.com/AutonomyLab/create_robot,github.com
AutonomyLab/libcreate,humble,1,https://github.com/AutonomyLab/libcreate,github.com
Autoware-AI/qpoases_vendor,humble,1,https://github.com/Autoware-AI/qpoases_vendor,github.com
BehaviorTree/BehaviorTree.CPP,humble,1,https://github.com/BehaviorTree/BehaviorTree.CPP,github.com
BerkeleyAutomation/FogROS2,humble,2,https://github.com/BerkeleyAutomation/FogROS2,github.com
Boeing/gazebo_model_attachment_plugin,humble,2,https://github.com/Boeing/gazebo_model_attachment_plugin,github.com
Boeing/gazebo_no_physics_plugin,humble,1,https://github.com/Boeing/gazebo_no_physics_plugin,github.com
Boeing/gazebo_planar_move_plugin,humble,1,https://github.com/Boeing/gazebo_planar_move_plugin,github.com
Boeing/gazebo_set_joint_positions_plugin,humble,1,https://github.com/Boeing/gazebo_set_joint_positions_plugin,github.com
CCNYRoboticsLab/imu_tools,humble,4,https://github.com/CCNYRoboticsLab/imu_tools,github.com
Chroma-CITI/namoros,humble,3,https://github.com/Chroma-CITI/namoros,github.com
Chroma-CITI/namosim,humble,1,https://github.com/Chroma-CITI/namosim,github.com
DFKI-NI/mir_robot,humble,9,https://github.com/DFKI-NI/mir_robot,github.com
DFKI-NI/rospy_message_converter,humble,2,https://github.com/DFKI-NI/rospy_message_converter,github.com
DLu/simple_actions,humble,1,https://github.com/DLu/simple_actions,github.com
DLu/tf_transformations,humble,1,https://github.com/DLu/tf_transformations,github.com
Ekumen-OS/andino,humble,10,https://github.com/Ekumen-OS/andino,github.com
Ekumen-OS/andino_gz,humble,1,https://github.com/Ekumen-OS/andino_gz,github.com
Ekumen-OS/beluga,humble,9,https://github.com/Ekumen-OS/beluga,github.com
Fields2Cover/fields2cover,humble,1,https://github.com/Fields2Cover/fields2cover,github.com
ForteFibre/FluentRviz,humble,1,https://github.com/ForteFibre/FluentRviz,github.com
ForteFibre/parameter_expression,humble,1,https://github.com/ForteFibre/parameter_expression,github.com
FraunhoferIOSB/camera_aravis2,humble,2,https://github.com/FraunhoferIOSB/camera_aravis2,github.com
Geson-anko/numpy_ndarray_msgs,humble,1,https://github.com/Geson-anko/numpy_ndarray_msgs,github.com
HebiRobotics/hebi_cpp_api_ros,humble,1,https://github.com/HebiRobotics/hebi_cpp_api_ros,github.com
HebiRobotics/hebi_msgs,humble,1,https://github.com/HebiRobotics/hebi_msgs,github.com
IMRCLab/crazyswarm2,humble,5,https://github.com/IMRCLab/crazyswarm2,github.com
